ppn,phase,condition,response,reward,count,sum,percent,group
1,c,lh,h,1,62,98,63.26530612244898,lhh
1,c,lh,l,5,36,98,36.734693877551024,lhl
1,c,lm,l,5,44,96,45.83333333333333,lml
1,c,lm,m,3,52,96,54.166666666666664,lmm
1,c,mh,h,1,45,98,45.91836734693878,mhh
1,c,mh,m,3,53,98,54.08163265306123,mhm
1,lr,h,1,1,97,98,98.9795918367347,h1
1,lr,l,5,5,99,100,99.0,l5
1,lr,m,3,3,99,100,99.0,m3
1,t,lh,h,1,63,96,65.625,lhh
1,t,lh,l,5,33,96,34.375,lhl
1,t,lm,l,5,44,95,46.31578947368421,lml
1,t,lm,m,3,51,95,53.68421052631579,lmm
1,t,mh,h,1,62,97,63.91752577319587,mhh
1,t,mh,m,3,35,97,36.08247422680412,mhm
2,c,lh,h,3,50,100,50.0,lhh
2,c,lh,l,5,50,100,50.0,lhl
2,c,lm,l,5,50,98,51.02040816326531,lml
2,c,lm,m,1,48,98,48.97959183673469,lmm
2,c,mh,h,3,60,99,60.60606060606061,mhh
2,c,mh,m,1,39,99,39.39393939393939,mhm
2,lr,h,3,3,97,100,97.0,h3
2,lr,l,5,5,95,100,95.0,l5
2,lr,m,1,1,93,99,93.93939393939394,m1
2,t,lh,h,3,48,94,51.06382978723404,lhh
2,t,lh,l,5,46,94,48.93617021276596,lhl
2,t,lm,l,5,56,100,56.00000000000001,lml
2,t,lm,m,1,44,100,44.0,lmm
2,t,mh,h,3,48,98,48.97959183673469,mhh
2,t,mh,m,1,50,98,51.02040816326531,mhm
3,c,lh,h,1,61,99,61.61616161616161,lhh
3,c,lh,l,3,38,99,38.38383838383838,lhl
3,c,lm,l,3,52,100,52.0,lml
3,c,lm,m,5,48,100,48.0,lmm
3,c,mh,h,1,55,100,55.00000000000001,mhh
3,c,mh,m,5,45,100,45.0,mhm
3,lr,h,1,1,95,100,95.0,h1
3,lr,l,3,3,95,99,95.95959595959596,l3
3,lr,m,5,5,94,100,94.0,m5
3,t,lh,h,1,47,99,47.474747474747474,lhh
3,t,lh,l,3,52,99,52.52525252525253,lhl
3,t,lm,l,3,48,99,48.484848484848484,lml
3,t,lm,m,5,51,99,51.515151515151516,lmm
3,t,mh,h,1,46,99,46.464646464646464,mhh
3,t,mh,m,5,53,99,53.535353535353536,mhm
4,c,lh,h,5,53,95,55.78947368421052,lhh
4,c,lh,l,3,42,95,44.21052631578947,lhl
4,c,lm,l,3,43,83,51.80722891566265,lml
4,c,lm,m,1,40,83,48.19277108433735,lmm
4,c,mh,h,5,49,93,52.68817204301075,mhh
4,c,mh,m,1,44,93,47.31182795698925,mhm
4,lr,h,5,5,90,98,91.83673469387756,h5
4,lr,l,3,3,92,97,94.84536082474226,l3
4,lr,m,1,1,90,97,92.78350515463917,m1
4,t,lh,h,5,64,100,64.0,lhh
4,t,lh,l,3,36,100,36.0,lhl
4,t,lm,l,3,40,100,40.0,lml
4,t,lm,m,1,60,100,60.0,lmm
4,t,mh,h,5,56,100,56.00000000000001,mhh
4,t,mh,m,1,44,100,44.0,mhm
6,c,lh,h,5,66,98,67.3469387755102,lhh
6,c,lh,l,1,32,98,32.6530612244898,lhl
6,c,lm,l,1,39,99,39.39393939393939,lml
6,c,lm,m,3,60,99,60.60606060606061,lmm
6,c,mh,h,5,64,98,65.3061224489796,mhh
6,c,mh,m,3,34,98,34.69387755102041,mhm
6,lr,h,5,5,91,100,91.0,h5
6,lr,l,1,1,97,100,97.0,l1
6,lr,m,3,3,91,100,91.0,m3
6,t,lh,h,5,67,100,67.0,lhh
6,t,lh,l,1,33,100,33.0,lhl
6,t,lm,l,1,51,100,51.0,lml
6,t,lm,m,3,49,100,49.0,lmm
6,t,mh,h,5,70,100,70.0,mhh
6,t,mh,m,3,30,100,30.0,mhm
7,c,lh,h,1,36,100,36.0,lhh
7,c,lh,l,5,64,100,64.0,lhl
7,c,lm,l,5,55,98,56.12244897959183,lml
7,c,lm,m,3,43,98,43.87755102040816,lmm
7,c,mh,h,1,38,100,38.0,mhh
7,c,mh,m,3,62,100,62.0,mhm
7,lr,h,1,1,90,99,90.9090909090909,h1
