condition,type,response,ppn,response_size,RT_mean,RT_std
c,lh,h,01,62,0.779687211052012,0.19357706478281597
c,lh,h,02,50,0.5280193956736184,0.1363354303178835
c,lh,h,03,61,0.6634712779095487,0.16558805826944575
c,lh,h,04,58,0.33437165059470725,0.12575626751918906
c,lh,h,05,37,0.6328281023719732,0.1730530324951079
c,lh,h,07,36,0.7074700962073608,0.1490668221707946
c,lh,h,08,44,0.6410895549580057,0.15590906882213357
c,lh,h,09,47,0.4128480731120904,0.06664228076429728
c,lh,h,10,56,0.3068313174998301,0.12575569873660192
c,lh,h,11,59,0.7992309437019793,0.182521838414833
c,lh,h,12,54,0.596331054616207,0.1276016917739756
c,lh,h,13,50,0.7061759424918091,0.1162390284882912
c,lh,h,14,51,0.5021690639717181,0.12383989329379895
c,lh,h,15,62,0.6662554814817315,0.2311999882233487
c,lh,h,16,58,0.5798735711057753,0.12036810221518161
c,lh,h,17,58,0.574611277635556,0.19948159174914
c,lh,h,18,43,0.5512076559557605,0.19650119816004485
c,lh,h,19,49,0.6877438327300835,0.1963385702653928
c,lh,h,20,39,0.7172085954140036,0.2003289425407881
c,lh,h,21,52,0.4979906459144471,0.17197067038759103
c,lh,h,22,54,0.3486738768644028,0.06490775120384729
c,lh,h,23,54,0.7116621059350884,0.15124112484254434
c,lh,h,24,53,0.5329361523112792,0.12103662228621369
c,lh,h,25,35,0.8181919347087387,0.13264456564037452
c,lh,h,26,47,0.8203756236427115,0.12555844216268697
c,lh,h,27,55,0.7174433208935873,0.19030035487308408
c,lh,h,28,63,0.6006128433650629,0.1296118266583874
c,lh,l,01,36,0.7574896603814144,0.14693218101476885
c,lh,l,02,50,0.526733211642495,0.1592949867690307
c,lh,l,03,38,0.6349311905577404,0.15013767274345044
c,lh,l,04,42,0.3639710688762534,0.13959544505845944
c,lh,l,05,63,0.6917896546732057,0.19086432839456144
c,lh,l,07,64,0.6606620551964646,0.11943418971526872
c,lh,l,08,53,0.5776852324888407,0.17213153862169536
c,lh,l,09,53,0.42301021100128017,0.06560441011990477
c,lh,l,10,44,0.31420773469691005,0.15465575011913363
c,lh,l,11,37,0.7732546494074,0.20573916709336126
c,lh,l,12,45,0.5744622874603617,0.13138469651360526
c,lh,l,13,50,0.6728950538450045,0.08849998071889671
c,lh,l,14,49,0.5242339512049474,0.17675757862796027
c,lh,l,15,33,0.639497432987534,0.2636759504517261
c,lh,l,16,41,0.580097184025806,0.11197445263873577
c,lh,l,17,42,0.5352105120748872,0.16908167492366147
c,lh,l,18,56,0.5306199695117877,0.19071584474739087
c,lh,l,19,48,0.646952463956192,0.14294492833026215
c,lh,l,20,60,0.6966407031118858,0.15649208258917208
c,lh,l,21,48,0.4717788096008538,0.16829758095143085
c,lh,l,22,46,0.35151800597447186,0.09218767960505288
c,lh,l,23,46,0.7007579011028018,0.09451549764284825
c,lh,l,24,47,0.5783150198509015,0.1605229315666585
c,lh,l,25,62,0.7946676238024074,0.1631871187497379
c,lh,l,26,52,0.8606606384254729,0.11683526496136695
c,lh,l,27,45,0.7450560351520027,0.1993455099583201
c,lh,l,28,37,0.5436739412657885,0.1071076453703144
c,lh,n,01,2,,
c,lh,n,03,1,,
c,lh,n,08,3,,
c,lh,n,11,4,,
c,lh,n,12,1,,
c,lh,n,15,5,,
c,lh,n,16,1,,
c,lh,n,18,1,,
c,lh,n,19,3,,
c,lh,n,20,1,,
c,lh,n,25,3,,
c,lh,n,26,1,,
c,lm,l,01,44,0.8068493724972128,0.1906843879438955
c,lm,l,02,50,0.5129346366438403,0.15594690560485985
c,lm,l,03,52,0.7002014696669483,0.21904838775410979
c,lm,l,04,50,0.32400044270643774,0.15425317966946492
c,lm,l,05,49,0.589541201779625,0.19256476012269025
c,lm,l,07,55,0.7253266628366749,0.15755834754304548
c,lm,l,08,54,0.5810898456452714,0.18452904114901855
c,lm,l,09,61,0.4266204654799904,0.08136458670853211
c,lm,l,10,46,0.29654606956410134,0.13288075740384936
c,lm,l,11,47,0.8443459868489459,0.15150171033524165
c,lm,l,12,46,0.6029711329106051,0.14310422834767234
c,lm,l,13,50,0.7183548767816683,0.13818479602971806
c,lm,l,14,53,0.48623400217915125,0.14887123108699518
c,lm,l,15,52,0.6384623725464105,0.26935761871488395
c,lm,l,16,38,0.682439835174687,0.1769993970330388
c,lm,l,17,46,0.5553581918399647,0.18771079916193387
c,lm,l,18,52,0.568716126563651,0.18979861572275256
c,lm,l,19,49,0.6555337752926084,0.1479063302727416
c,lm,l,20,52,0.746900870039033,0.17345344629697784
c,lm,l,21,49,0.4904519841293222,0.18405247558143809
c,lm,l,22,48,0.3410977982840298,0.059062506540376467
c,lm,l,23,37,0.6949897356446584,0.11316998544233091
c,lm,l,24,50,0.6045585788716562,0.16269648903306322
c,lm,l,25,55,0.78979404533483,0.1318866050261642
c,lm,l,26,43,0.8431545550779552,0.12492505293202263
c,lm,l,27,37,0.7250007651549626,0.13613423642847122
c,lm,l,28,45,0.5812942211842811,0.14368148460407587
c,lm,m,01,52,0.8219369664049054,0.178511708711131
c,lm,m,02,48,0.5168821050903792,0.1614965941309849
c,lm,m,03,48,0.6845490783901292,0.19065524503963932
c,lm,m,04,50,0.2748621867771726,0.15178246527695222
c,lm,m,05,46,0.5993161273873817,0.22113917598694866
c,lm,m,07,43,0.7112166273312955,0.1623913142466121
c,lm,m,08,46,0.5954951108225309,0.17432232483779198
c,lm,m,09,39,0.4396113071853529,0.09124791741861396
c,lm,m,10,54,0.3246784138761911,0.13553925545755446
c,lm,m,11,47,0.8297595426731902,0.17326393389408953
c,lm,m,12,54,0.6116458823703228,0.12009678337832431
c,lm,m,13,50,0.6960672644488568,0.14802434605936626
c,lm,m,14,47,0.5389427202357415,0.17432359700319966
c,lm,m,15,46,0.7490478914902348,0.21832920437883357
c,lm,m,16,62,0.6692807101980501,0.16992033962796457
c,lm,m,17,52,0.5337050942659446,0.1814029196179164
c,lm,m,18,48,0.5260186741963176,0.20269982197308997
c,lm,m,19,51,0.6683164373604157,0.15251796238478801
c,lm,m,20,43,0.7304295229521411,0.18705482761869366
c,lm,m,21,51,0.4572281194179203,0.16647840880426218
c,lm,m,22,52,0.34401186522280536,0.05512690987280292
c,lm,m,23,62,0.6912296838061358,0.12147457951897282
c,lm,m,24,50,0.5439261165994685,0.12592234891091225
c,lm,m,25,42,0.7859607461092916,0.15335621458997795
c,lm,m,26,57,0.8614975368595001,0.11076037071362176
c,lm,m,27,60,0.7247497639427214,0.18887349012422616
c,lm,m,28,53,0.625351509434898,0.16177396241585715
c,lm,n,01,4,,
c,lm,n,02,2,,
c,lm,n,05,5,,
c,lm,n,07,2,,
c,lm,n,11,6,,
c,lm,n,15,2,,
c,lm,n,17,2,,
c,lm,n,20,5,,
c,lm,n,23,1,,
c,lm,n,25,3,,
c,lm,n,27,3,,
c,lm,n,28,2,,
c,mh,h,01,45,0.8020716378818482,0.1915797205022246
c,mh,h,02,60,0.5469455182391508,0.15000326717069434
c,mh,h,03,55,0.6533794801787736,0.16208716964341877
c,mh,h,04,52,0.3765979196747192,0.15899209932747418
c,mh,h,05,39,0.6802307074558485,0.2279720589350317
c,mh,h,07,38,0.6720729791999606,0.13864057464585347
c,mh,h,08,42,0.5667570578768955,0.1538247699303411
c,mh,h,09,53,0.43288085996480835,0.0733863211600731
c,mh,h,10,49,0.310745678610425,0.10580780539577649
c,mh,h,11,49,0.8300787430505305,0.18834939329155834
c,mh,h,12,52,0.5645733536101454,0.1363773015899853
c,mh,h,13,47,0.6872129126321214,0.12046780104947905
c,mh,h,14,53,0.5477776945105499,0.1698961877648807
c,mh,h,15,60,0.6780403647860415,0.24516281943117976
c,mh,h,16,51,0.5895642755411459,0.11347440230875441
c,mh,h,17,56,0.521268642488719,0.1677602518160701
c,mh,h,18,47,0.5486184112016146,0.20956933080073126
c,mh,h,19,56,0.6500081254521319,0.16858970530635062
c,mh,h,20,41,0.7079191241579914,0.18368243857283403
c,mh,h,21,47,0.4868089529352298,0.1984724116270581
c,mh,h,22,50,0.33961204161423664,0.06077462381405568
c,mh,h,23,47,0.6919722434139793,0.15272620133631928
c,mh,h,24,44,0.5320621463410631,0.12599049192609582
c,mh,h,25,41,0.7806103358111947,0.1294756989973894
c,mh,h,26,53,0.8406280308376635,0.1343816357615242
c,mh,h,27,55,0.7278208783023398,0.19949312674497202
c,mh,h,28,60,0.6196168504330368,0.16254698916313673
c,mh,m,01,53,0.8104561516368294,0.18289690505581166
c,mh,m,02,39,0.5508812218368127,0.1437732470572312
c,mh,m,03,45,0.6624682343892749,0.1531921225466715
c,mh,m,04,47,0.3716858671063203,0.17934006947571013
c,mh,m,05,59,0.6912746165726276,0.19819216610917909
c,mh,m,07,62,0.6987409290877402,0.15326637622711237
c,mh,m,08,57,0.5862307983120046,0.19121274964448468
c,mh,m,09,47,0.45494485259320194,0.10166299214405405
c,mh,m,10,51,0.2924115610095018,0.11549131692519898
c,mh,m,11,48,0.8004042280976099,0.18975393650394554
c,mh,m,12,48,0.6287572816741734,0.15190728462126316
c,mh,m,13,51,0.7099493089673142,0.1308148094152365
c,mh,m,14,47,0.49021220926380843,0.15756971278832135
c,mh,m,15,40,0.6672469811742531,0.248633745844492
c,mh,m,16,49,0.6091468162828407,0.15999248016928677
c,mh,m,17,44,0.548050124897269,0.21279845378000908
c,mh,m,18,53,0.5454385647902217,0.21285064649415175
c,mh,m,19,44,0.6538207252517829,0.14155096267241135
c,mh,m,20,57,0.7190964219179948,0.19246850989712175
c,mh,m,21,53,0.45112741537240303,0.1559717572308592
c,mh,m,22,50,0.3418257404905307,0.07051757467104161
c,mh,m,23,52,0.704623493496351,0.13814261986597118
c,mh,m,24,55,0.5557894744211808,0.1380788398009554
c,mh,m,25,58,0.7638272213536829,0.1349992661929228
c,mh,m,26,45,0.8476010185665169,0.1287431212015542
c,mh,m,27,45,0.7001389998347602,0.16757725532639478
c,mh,m,28,40,0.5863331558222853,0.13804384538452386
c,mh,n,01,2,,
c,mh,n,02,1,,
c,mh,n,04,1,,
c,mh,n,05,2,,
c,mh,n,08,1,,
c,mh,n,11,3,,
c,mh,n,13,2,,
c,mh,n,20,2,,
c,mh,n,23,1,,
c,mh,n,24,1,,
c,mh,n,25,1,,
c,mh,n,26,2,,
lr,h,0,01,1,0.6327041341723998,
lr,h,0,02,3,0.4185850076510178,0.23891211849601204
lr,h,0,03,5,0.2737290315955761,0.024425770351034517
lr,h,0,04,9,0.2992933093943672,0.1701547294907694
lr,h,0,05,18,0.24343908741169193,0.09017094070811704
lr,h,0,07,9,0.26219599633122925,0.05637695462813198
lr,h,0,08,17,0.4947166327935573,0.11331257725383831
lr,h,0,09,7,0.3199109619617957,0.049400257971093556
lr,h,0,10,6,0.44790437929532345,0.0845157593027815
lr,h,0,11,5,0.5563954156088584,0.14822545662135136
lr,h,0,12,6,0.5980341992205164,0.27413713557245023
lr,h,0,13,7,0.38028740454488535,0.112669654055478
lr,h,0,14,11,0.36526883676304517,0.11186228714915611
lr,h,0,15,8,0.42064849933717596,0.1980961511786314
lr,h,0,16,5,0.40172617059797633,0.1255792980461869
lr,h,0,17,4,0.35370869514554215,0.2580051863832325
lr,h,0,18,4,0.3315171136555364,0.06367400597710698
lr,h,0,19,7,0.4491417931806479,0.16064938966273123
lr,h,0,20,19,0.3011211852239955,0.12374880526362002
lr,h,0,21,9,0.3360320602136603,0.07151110117048085
lr,h,0,22,8,0.2677818002744061,0.10572528014302882
lr,h,0,23,2,0.43138612018992717,0.10155698338631976
lr,h,0,24,8,0.6600715004788071,0.15507776106591867
lr,h,0,25,4,0.41054316046938766,0.26870355264070866
lr,h,0,26,5,0.4530648266339995,0.19541550033961808
lr,h,0,27,5,0.37267179735645184,0.09690331632740987
lr,h,0,28,22,0.21707916424665283,0.04682679778687542
lr,h,1,01,97,0.3920522160736808,0.08691893004462026
lr,h,1,03,95,0.31592527075253635,0.06939753220773723
lr,h,1,07,90,0.25189599653447964,0.05843841928399403
lr,h,1,09,93,0.3332393522491608,0.06542456711264591
lr,h,1,13,92,0.3499052804640156,0.09285746044814473
lr,h,1,15,92,0.35930237564800493,0.09846704276127165
lr,h,1,18,96,0.37260350992509456,0.08626275419241322
lr,h,1,19,93,0.3935591446520399,0.10907134775842255
lr,h,1,21,91,0.3563367634325894,0.10758050015759206
lr,h,1,26,95,0.37063314881551807,0.08040186574735662
lr,h,1,28,76,0.24747918207676298,0.08064870825085024
lr,h,3,02,97,0.38483061485818587,0.1442727436481883
lr,h,3,05,79,0.3017300838254287,0.10409648017977546
lr,h,3,08,83,0.4061592980455075,0.10687123467823273
lr,h,3,11,95,0.4784371140138127,0.12105805065111445
lr,h,3,14,88,0.34052251738816347,0.09143487230645417
lr,h,3,17,94,0.3768331988740101,0.10638771358370623
lr,h,3,20,79,0.3185757531298379,0.07858380279317352
lr,h,3,23,98,0.370750144475393,0.08832572094880156
lr,h,3,24,92,0.4968429121581721,0.08569726765043555
lr,h,5,04,91,0.26592419511105836,0.07105231828159903
lr,h,5,10,94,0.397483674216559,0.09616170476151015
lr,h,5,12,92,0.4742875569853546,0.12695678267718308
lr,h,5,16,94,0.40065732503953383,0.13141939668609695
lr,h,5,22,92,0.3841686115851901,0.15710052000673816
lr,h,5,25,96,0.4365627919966452,0.10756440819350188
lr,h,5,27,95,0.3830092622212281,0.1006401341026546
lr,h,n,01,2,,
lr,h,n,05,3,,
lr,h,n,07,1,,
lr,h,n,12,2,,
lr,h,n,13,1,,
lr,h,n,14,1,,
lr,h,n,16,1,,
lr,h,n,17,2,,
lr,h,n,20,2,,
lr,h,n,28,2,,
lr,l,0,01,1,0.5425508230168816,
lr,l,0,02,5,0.5253932548223019,0.21606024201660753
lr,l,0,03,4,0.3306331984899771,0.1306895261871066
lr,l,0,04,5,0.23206567453380558,0.05263320388446437
lr,l,0,05,15,0.27297375734766927,0.09798121543278374
lr,l,0,07,6,0.25255777824766784,0.03126856039390613
lr,l,0,08,9,0.41620573708132724,0.06932551341157897
lr,l,0,09,5,0.40238143893002415,0.06370569795379448
lr,l,0,10,1,0.4228239463045611,
lr,l,0,11,6,0.6470962378674964,0.08974535017558424
lr,l,0,12,1,0.6766311025385221,
lr,l,0,13,4,0.31524468038344367,0.016205165537707653
lr,l,0,14,4,0.3902366041968435,0.09017695579254989
lr,l,0,15,6,0.3916776728434949,0.20003039324400348
lr,l,0,16,8,0.4311390406546707,0.12695141353211167
lr,l,0,17,6,0.2475592852703509,0.10722084687481749
lr,l,0,18,5,0.3787887099562795,0.10642535329985016
lr,l,0,19,2,0.656801207755052,0.13311969552793562
lr,l,0,20,8,0.3171924874646379,0.10627283450255325
lr,l,0,21,11,0.3882667344040039,0.19642186498379505
lr,l,0,23,1,0.40104966332000913,
lr,l,0,24,4,0.7101220750046195,0.15227249122315328
lr,l,0,25,10,0.4167506100027822,0.09432244655073295
lr,l,0,26,4,0.4330053083049279,0.16817451137803308
lr,l,0,27,2,0.2743219053008943,0.03183011507802266
lr,l,0,28,15,0.220492665937248,0.07747469587240506
lr,l,1,05,80,0.3298392703043532,0.14672537263797886
lr,l,1,11,94,0.45561067004909805,0.1300893725253807
lr,l,1,12,97,0.47165105051366124,0.14778395970987504
lr,l,1,17,93,0.3518802602636917,0.09519604967786308
