filename,SC_gray,SC_blue_yellow,SC_red_green,CE_gray,CE_blue_yellow,CE_red_green,BG_diag,B_norm
'im_1.jpg',1.335125411,0.822091838,1.087686274,0.006742177,0.000445025,0.000452743,1.491954759,1.244514422
'im_10.jpg',1.317627019,1.066208141,1.300868754,0.011731493,0.001050423,0.001050959,2.537189039,2.35974319
'im_100.jpg',0.760691991,0.716697537,1.014864909,0.003487143,0.000554292,0.000498389,0.807024563,0.56993806
'im_1001.jpg',0.903962891,0.877256587,1.576375264,0.004257257,0.000730547,0.000857408,1.023952647,0.736945373
'im_1002.jpg',1.286460314,1.210668373,1.514209021,0.006725668,0.001187483,0.000843001,1.758085679,1.422214064
'im_1003.jpg',0.797340667,0.476039273,1.007727687,0.002371384,9.88E-05,0.000153012,0.589299204,0.270647418
'im_1004.jpg',0.923182532,0.926740221,1.34894431,0.005350798,0.000885667,0.000639505,1.168544399,0.943310906
'im_1005.jpg',1.272074495,0.931735182,0.770338503,0.007003491,0.00159122,0.003622242,1.80444301,1.512340551
'im_1006.jpg',0.997649176,0.94872967,1.260096767,0.005762921,0.00113903,0.000926646,1.212853005,0.982962524
'im_1007.jpg',0.796653137,0.392579717,0.784945502,0.003832814,0.00029148,0.000167901,0.780236945,0.558207033
'im_1008.jpg',0.765176922,0.52813965,0.809310649,0.002533026,0.000200755,0.000230777,0.573591466,0.185332741
'im_1009.jpg',0.915319163,0.689465238,0.904103781,0.004784957,0.000987296,0.001251294,1.027122609,0.810718929
'im_101.jpg',0.901057378,0.70462989,1.154512944,0.003953126,0.000519524,0.000548854,0.702859514,0.458825265
'im_1010.jpg',0.899759928,0.956948309,0.936479203,0.004037897,0.001632688,0.00116689,1.074477873,0.793878676
'im_1011.jpg',0.923202354,1.072993409,0.854665181,0.004137957,0.002190643,0.001648241,1.254411103,0.915228457
'im_1012.jpg',0.915719166,0.677040733,0.97808438,0.003550492,8.34E-05,0.000127924,0.841540822,0.590615834
'im_1013.jpg',0.564948201,0.638414553,0.800960754,0.00367066,0.000630816,0.000796678,0.657779073,0.461079754
'im_1014.jpg',0.988829741,0.677136999,0.797914321,0.003130274,0.000310898,0.000448343,0.725546504,0.388372491
'im_1015.jpg',0.516944692,0.432722497,0.671004048,0.000929471,0.00068989,0.001382634,0.405778833,0.101940791
'im_1016.jpg',0.947376403,0.997221723,1.23654492,0.005677746,0.000696645,0.000822164,1.221369744,1.01162388
'im_1017.jpg',1.085607617,0.783185488,1.137588712,0.004304711,0.000477942,0.000351867,1.06807175,0.79310683
'im_1018.jpg',1.273915374,1.547772543,1.764657785,0.009280728,0.001289188,0.001238291,2.14913208,1.909072671
'im_1019.jpg',0.916572232,0.863058259,1.047335331,0.005946128,0.001309949,0.000931324,1.48305537,1.235494607
'im_102.jpg',1.565326553,1.187183555,1.241890068,0.00649389,0.00157194,0.001175685,1.829699793,1.426758325
'im_1020.jpg',1.372070945,0.985252568,0.939659749,0.006778128,0.00096444,0.001273681,1.673066679,1.360906563
'im_1021.jpg',0.776801296,0.62265268,0.782489143,0.002672799,0.000263778,0.000349321,0.672901384,0.44885302
'im_1022.jpg',0.739497246,0.59629027,0.894427196,0.000810299,0.000256791,0.000254948,0.501267676,0.075064428
'im_1023.jpg',1.439819882,1.308604795,1.499574065,0.007705512,0.001677374,0.001493537,2.04766943,1.681943478
'im_1024.jpg',0.291514297,1.381842115,0.880137812,0.001710221,0.005148703,0.001353035,0.656668578,0.536343827
'im_1025.jpg',0.961615572,0.688571682,1.112940193,0.002770689,0.000442402,0.00066273,0.719555171,0.406149596
'im_1026.jpg',0.898713354,0.699858155,1.047366394,0.006194004,0.000753642,0.000460909,1.300487375,1.115302349
'im_1027.jpg',0.719356943,0.803821417,0.847708804,0.001604934,0.00074403,0.000904019,0.548005425,0.240752963
'im_1028.jpg',1.048951024,0.840237735,0.917662682,0.006040526,0.000711204,0.000441375,1.217061999,1.009405779
'im_1029.jpg',0.984669575,0.772525618,0.85018563,0.002489094,0.000241151,0.000213366,0.696519315,0.357904531
'im_103.jpg',1.118055685,1.015038084,1.437271656,0.004403269,0.001116179,0.000744149,1.25661475,0.896281526
'im_1030.jpg',1.194027176,1.07971281,1.263094264,0.00334942,0.000385837,0.00025653,0.913208885,0.520599429
'im_1031.jpg',0.850284428,0.887366561,1.206339238,0.006051729,0.002911356,0.00174116,1.878103425,1.626630349
'im_1032.jpg',1.155730584,0.960022236,1.04108993,0.007555187,0.00194425,0.00159375,1.918225971,1.687546318
'im_1033.jpg',0.65497993,0.450977801,0.893715211,0.001697526,0.000374114,0.000269497,0.513185544,0.232060396
'im_1034.jpg',0.86004606,0.453344905,0.620937717,0.002970247,4.46E-05,0.000150029,0.728795063,0.460788168
'im_1035.jpg',0.865900377,0.951554093,1.284102146,0.001547076,0.000283268,0.000374856,0.637706163,0.171065687
'im_1036.jpg',1.586349125,1.631407543,1.701356468,0.004342488,0.00172914,0.000866051,1.527475255,0.98869802
'im_1037.jpg',0.798505225,1.010967328,0.938080039,0.005875882,0.001746631,0.00257577,1.303832378,1.098012385
