filename,CE_g,CE_by,CE_rg,SC_g,SC_by,SC_rg,animal,name_length
'im_1.jpg',0.006742177,0.000445025,0.000452743,1.335125411,0.822091838,1.087686274,1,10
'im_10.jpg',0.011731493,0.001050423,0.001050959,1.317627019,1.066208141,1.300868754,1,11
'im_100.jpg',0.003487143,0.000554292,0.000498389,0.760691991,0.716697537,1.050755297,1,12
'im_1001.jpg',0.004257257,0.000730547,0.000857408,0.903962891,0.877256587,1.576375264,1,13
'im_1002.jpg',0.006725668,0.001187483,0.000843001,1.286460314,1.210668373,1.514209021,1,13
'im_1003.jpg',0.002371384,9.88E-05,0.000153012,0.797340667,0.476039273,1.033677185,1,13
'im_1004.jpg',0.005350798,0.000885667,0.000639505,0.923182532,0.926740221,1.34894431,1,13
'im_1005.jpg',0.007003491,0.00159122,0.003622242,1.272074495,0.931735182,0.770338503,1,13
'im_1006.jpg',0.005762921,0.00113903,0.000926646,0.997649176,0.94872967,1.260096767,1,13
'im_1007.jpg',0.003832814,0.00029148,0.000167901,0.796653137,0.392579717,0.862633301,1,13
'im_1008.jpg',0.002533026,0.000200755,0.000230777,0.765176922,0.52813965,0.826971425,1,13
'im_1009.jpg',0.004784957,0.000987296,0.001251294,0.915319163,0.689465238,0.904103781,1,13
'im_101.jpg',0.003953126,0.000519524,0.000548854,0.901057378,0.70462989,1.154512944,1,12
'im_1010.jpg',0.004037897,0.001632688,0.00116689,0.899759928,0.956948309,0.936479203,1,13
'im_1011.jpg',0.004137957,0.002190643,0.001648241,0.923202354,1.072993409,0.854665181,1,13
'im_1012.jpg',0.003550492,8.34E-05,0.000127924,0.915719166,0.677040733,0.982934627,1,13
'im_1013.jpg',0.00367066,0.000630816,0.000796678,0.564948201,0.638414553,0.949460769,1,13
'im_1014.jpg',0.003130274,0.000310898,0.000448343,0.988829741,0.677136999,0.916587043,1,13
'im_1015.jpg',0.000929471,0.00068989,0.001431694,0.516944692,0.432722497,0.672397997,1,13
'im_1016.jpg',0.005677746,0.000696645,0.000822164,0.947376403,0.997221723,1.23654492,1,13
'im_1017.jpg',0.004304711,0.000477942,0.000351867,1.085607617,0.783185488,1.137588712,1,13
'im_1018.jpg',0.009280728,0.001289188,0.001238291,1.273915374,1.547772543,1.764657785,1,13
'im_1019.jpg',0.005946128,0.001309949,0.000931324,0.916572232,0.863058259,1.050123128,1,13
'im_102.jpg',0.00649389,0.00157194,0.001175685,1.565326553,1.187183555,1.241890068,1,12
'im_1020.jpg',0.006778128,0.00096444,0.001273681,1.372070945,0.985252568,0.939659749,1,13
'im_1021.jpg',0.002672799,0.000263778,0.000349321,0.776801296,0.62265268,0.813769518,1,13
'im_1022.jpg',0.000810299,0.000256791,0.000254948,0.739497246,0.59629027,0.894427196,1,13
'im_1023.jpg',0.007705512,0.001677374,0.001493537,1.439819882,1.308604795,1.499574065,1,13
'im_1024.jpg',0.001710221,0.005148703,0.001353035,0.324724067,1.381842115,0.718691083,1,13
'im_1025.jpg',0.002770689,0.000442402,0.00066273,0.961615572,0.688571682,1.11705295,1,13
'im_1026.jpg',0.006194004,0.000753642,0.000460909,0.898713354,0.699858155,1.047366394,1,13
'im_1027.jpg',0.001604934,0.00074403,0.000904019,0.719356943,0.803821417,0.848702189,1,13
'im_1028.jpg',0.006040526,0.000711204,0.000441375,1.048951024,0.840237735,0.917662682,1,13
'im_1029.jpg',0.002489094,0.000241151,0.000213366,0.984669575,0.772525618,0.85018563,1,13
'im_103.jpg',0.004403269,0.001116179,0.000744149,1.118055685,1.015038084,1.437271656,1,12
'im_1030.jpg',0.00334942,0.000385837,0.00025653,1.194027176,1.07971281,1.263094264,1,13
'im_1031.jpg',0.006051729,0.002911356,0.00174116,0.850284428,0.887366561,1.21241397,1,13
'im_1032.jpg',0.007555187,0.00194425,0.00159375,1.155730584,0.960022236,1.04108993,1,13
'im_1033.jpg',0.001697526,0.000374114,0.000269497,0.65497993,0.450977801,0.917596609,1,13
'im_1034.jpg',0.002970247,4.46E-05,0.000150029,0.86004606,0.453344905,0.754399972,1,13
'im_1035.jpg',0.001547076,0.000283268,0.000374856,0.865900377,0.951554093,1.284102146,1,13
'im_1036.jpg',0.004342488,0.00172914,0.000866051,1.586349125,1.631407543,1.701356468,1,13
'im_1037.jpg',0.005875882,0.001746631,0.00257577,0.798505225,1.010967328,0.938080039,1,13
'im_1038.jpg',0.002438217,0.000887536,0.000510295,0.841904541,0.882504854,1.224966587,1,13
'im_1039.jpg',0.003501512,0.001118665,0.000737216,0.864135522,0.680564094,0.833555075,1,13
'im_104.jpg',0.00708997,0.003154943,0.001498254,1.454136889,1.43840186,1.541331325,1,12
'im_1040.jpg',0.003430411,0.00075178,0.000693047,1.102709969,0.889056686,1.070650622,1,13
'im_1041.jpg',0.010001883,0.000960704,0.000619779,1.660967491,1.15222206,1.235154165,1,13
'im_1042.jpg',0.006051788,0.000834815,0.001583961,1.286408821,1.076710019,1.500379026,1,13
'im_1043.jpg',0.004866288,0.000188836,0.000463572,0.680044679,0.329014931,0.958062528,1,13
'im_1044.jpg',0.006628775,0.000983844,0.001108115,0.91250481,0.829254124,0.952266017,1,13
'im_1045.jpg',0.006165467,0.000451709,0.000620943,0.621139709,0.501125044,0.846277608,1,13
'im_1046.jpg',0.006125605,0.001192259,0.00246005,0.936223685,0.763778533,0.750104373,1,13
'im_1047.jpg',0.003897611,0.000796236,0.000587684,0.862485583,0.635400435,0.889900789,1,13
'im_1048.jpg',0.006820771,0.001592406,0.000962129,0.677030486,0.481177861,0.684554229,1,13
'im_1049.jpg',0.003441784,0.00075592,0.000664187,0.617306767,0.856095092,1.020715472,1,13
'im_105.jpg',0.006371258,0.000598555,0.000453531,1.341855351,1.11334084,1.232522852,1,12
'im_1050.jpg',0.007176163,0.000960622,0.000439962,1.371028394,1.009707307,1.026383095,1,13
'im_1051.jpg',0.007399311,0.00080473,0.00117127,1.103254411,0.797776404,0.999860047,1,13
'im_1052.jpg',0.009315462,0.002410069,0.001871382,1.578557009,1.318629228,1.383134019,1,13
'im_1053.jpg',0.003641972,0.002077665,0.001001315,0.98687232,0.9127194,1.234177715,1,13
'im_1054.jpg',0.000374665,2.24E-05,0.000145008,0.582356556,0.413300283,0.917725843,1,13
'im_1055.jpg',0.004999935,0.000295721,0.000401008,1.098639293,0.844175387,1.17182861,1,13
'im_1056.jpg',0.002013287,0.001253108,0.001080839,1.25498717,1.279657307,1.614461274,1,13
'im_1057.jpg',0.00214933,0.000609747,0.000871786,0.850988078,0.929551821,1.082312538,1,13
'im_1058.jpg',0.004740669,0.000377999,0.000486296,0.783010535,0.484292967,0.686123288,1,13
'im_1059.jpg',0.003013281,0.000979228,0.000831584,1.014028712,1.04209846,1.140420156,1,13
'im_106.jpg',0.001206803,0.001658476,0.000990996,0.558658527,0.751833885,1.008533342,1,12
'im_1060.jpg',0.005921157,0.000152464,0.000194053,0.880170489,0.298534688,0.821374753,1,13
'im_1061.jpg',0.006390931,0.001178871,0.000532494,1.332020589,1.17593235,1.167672633,1,13
'im_1062.jpg',0.005202323,0.000460381,0.000411331,1.302389919,0.792436322,1.195702976,1,13
'im_1063.jpg',0.005879936,0.001952146,0.001276029,1.301668653,1.184215551,1.366829149,1,13
'im_1064.jpg',0.003691318,0.000690677,0.000908191,0.735604679,1.009304521,1.274974,1,13
'im_1065.jpg',0.00225084,0.000557027,0.000261267,0.489856934,0.269025212,0.805954841,1,13
'im_1066.jpg',0.00753775,0.001539467,0.002868422,1.26626969,1.216879076,1.086008232,1,13
'im_1067.jpg',0.005343432,0.00096969,0.001307154,1.076746346,0.90565014,1.187056335,1,13
'im_1068.jpg',0.004972538,0.000839523,0.00067648,1.153780506,0.613370166,0.794104917,1,13
'im_1069.jpg',0.002572647,0.000412048,0.000551512,1.122851982,0.876260659,1.132697471,1,13
'im_107.jpg',0.002484411,0.000416042,0.000255699,0.896289505,0.637888034,0.969205738,1,12
'im_1070.jpg',0.004268416,0.000769303,0.000626019,0.751252133,0.737841913,1.004730429,1,13
'im_1071.jpg',0.004573278,0.00116266,0.001383343,1.108576795,1.045658668,0.978977818,1,13
'im_1072.jpg',0.003448352,0.000230917,0.000230691,1.034025487,0.496202753,0.903563853,1,13
'im_1073.jpg',0.002240653,0.00032091,0.000150536,0.969989285,0.486514615,1.028741266,1,13
'im_1074.jpg',0.002261553,0.000406332,0.00022559,1.033722181,0.81437122,1.185345314,1,13
'im_1075.jpg',0.002385694,0.001303358,0.001000018,0.786591594,0.791598742,1.117515291,1,13
'im_1076.jpg',0.00369162,0.001032006,0.000889149,1.430363651,1.021576228,1.18367971,1,13
'im_1077.jpg',0.000629151,0.000180687,0.000288927,0.687153704,0.425091782,0.770281475,1,13
