phase,trial_nr,key,time,img_l,img_r
1,0,slash,0.4578418731689453,im_6183.jpg,im_2457.jpg
1,1,slash,0.24595093727111816,im_1300.jpg,im_5563.jpg
1,2,slash,0.20056390762329102,im_1732.jpg,im_1675.jpg
1,3,slash,0.2968120574951172,im_6213.jpg,im_1399.jpg
1,4,slash,0.27213311195373535,im_6147.jpg,im_540.jpg
1,5,slash,0.23725509643554688,im_2134.jpg,im_2309.jpg
1,6,slash,0.2089400291442871,im_328.jpg,im_5323.jpg
1,7,slash,0.27065396308898926,im_1207.jpg,im_1632.jpg
1,8,slash,0.3133978843688965,im_102.jpg,im_5246.jpg
1,9,slash,0.3032829761505127,im_6055.jpg,im_1542.jpg
