,filename,CE_g,CE_by,CE_rg,SC_g,SC_by,SC_rg,animal,name_length,BG,B_norm,condition
4517,im_5786.jpg,0.0,8.809999999999999e-05,0.000332527,0.27745111899999997,0.281785369,0.621427966,1.0,13,0.0,0.0,
2990,im_4230.jpg,0.0,0.0012651939999999999,0.0016551060000000002,0.091622284,0.43809151399999996,0.23548607,0.0,13,0.0,0.0,
1632,im_2649.jpg,0.0,1.07e-05,0.00014992399999999998,0.16381511099999999,0.198912845,0.586142423,1.0,13,0.0,0.0,
4081,im_5393.jpg,0.007369448000000001,0.0,0.0,0.8486653279999999,0.0,0.0,0.0,13,0.0,0.0,
2782,im_4043.jpg,0.0,2.47e-05,0.000344329,0.286190088,0.27823873600000004,0.563727789,0.0,13,0.0,0.0,
2767,im_403.jpg,6.18e-05,0.00044976699999999995,0.00023479799999999998,0.45293236,0.503829925,0.659369615,0.0,12,0.318425886,0.014899711000000001,
2987,im_4228.jpg,2.0399999999999998e-05,0.0018921320000000001,8.789999999999999e-08,0.49733057,0.33730824299999995,0.420150762,0.0,13,0.323630816,0.019819112,
3039,im_4275.jpg,0.000381494,0.000264564,0.000125643,0.40830782,0.32061399100000004,0.691414018,0.0,13,0.32563183100000004,0.014216248,
119,im_1106.jpg,9.520000000000001e-05,6.670000000000001e-05,0.000151479,0.695348926,0.45297069,0.756686275,1.0,13,0.33834970200000003,0.00689177,
2772,im_4034.jpg,0.00024281299999999998,0.000561447,0.001635406,0.454830609,0.37845931299999996,0.391969597,0.0,13,0.343516555,0.010374907,LOW_NA
267,im_124.jpg,6.36e-06,0.001028417,0.0028830709999999996,0.37561590899999997,0.495719576,0.35042059299999995,1.0,12,0.34465194899999996,0.012780457,LOW_A
3130,im_4357.jpg,0.00135362,0.001384416,0.008049373,0.46158576100000004,0.5287801870000001,0.624223206,0.0,13,0.34819795,0.098977138,
5421,im_678.jpg,8.43e-05,0.000516376,0.000333676,0.422593179,0.46892466,0.7317948670000001,0.0,12,0.350762157,0.012620058,LOW_NA
6563,im_8183.jpg,0.000986823,0.0009693,7.070000000000001e-05,0.503493646,0.39125006700000003,0.5598232320000001,0.0,13,0.35114610399999996,0.050036128,
1985,im_3146.jpg,0.000160334,2.01e-05,0.000257055,0.617683535,0.249139983,0.758678409,1.0,13,0.35229853299999997,0.018021056,LOW_A
3382,im_4584.jpg,2.13e-06,0.000468777,0.000434166,0.439191812,0.452579355,0.629396901,0.0,13,0.35291839799999997,0.004604165,
6368,im_791.jpg,0.0010360480000000001,0.00033938,0.00028084299999999997,0.364420167,0.378259974,0.815933067,0.0,12,0.356670195,0.043606273,
4588,im_6029.jpg,0.00036628400000000003,0.000816682,0.000646293,0.530441532,0.394991565,0.638899208,0.0,13,0.357388263,0.021022962000000003,
5036,im_6432.jpg,0.000188035,0.003044189,0.000458,0.41539223,0.425268097,0.321471706,0.0,13,0.35828601200000004,0.12513427900000001,
4497,im_5768.jpg,6.86e-05,0.000673955,6.159999999999999e-05,0.46603815,0.358980284,0.407658898,1.0,13,0.35899085,0.007297888000000001,
444,im_14.jpg,0.00024365200000000002,0.000840915,0.000513931,0.45670612299999996,0.403617469,0.564014363,1.0,11,0.360742898,0.033751402,LOW_A
5437,im_6794.jpg,0.0007284710000000001,0.000747513,0.0005254109999999999,0.396145588,0.339658574,0.480189055,0.0,13,0.363535916,0.027258032999999997,LOW_NA
4380,im_5662.jpg,9.7e-05,0.000308761,0.000469694,0.153593279,0.46975553299999995,0.547753223,1.0,13,0.363637803,0.008236327,LOW_A
6126,im_7594.jpg,2.72e-06,6.23e-05,0.00014194700000000002,0.442414132,0.517829447,0.84899704,0.0,13,0.363699434,0.0026349520000000003,LOW_NA
2842,im_4098.jpg,0.000378385,0.0029315659999999996,0.00031700900000000004,0.615854205,0.326311436,0.48899599899999996,0.0,13,0.364084301,0.061898660999999994,
6215,im_7674.jpg,0.00183885,2.04e-06,3.23e-06,0.6924690309999999,0.271152149,0.453121151,0.0,13,0.36421019200000004,0.050954944,LOW_NA
4334,im_5620.jpg,0.000911175,0.00035784699999999995,0.000872342,0.48532981799999997,0.353201273,0.637955019,1.0,13,0.36746456,0.048239494,LOW_A
3122,im_435.jpg,7.94e-07,0.000848876,0.0030582829999999997,0.687345898,0.583251878,0.728089014,0.0,12,0.36791672299999995,0.008127196,
5064,im_6458.jpg,0.000302961,0.002454857,2.1899999999999997e-05,0.555977395,0.495120787,0.49760865200000004,0.0,13,0.36968824299999997,0.076067837,
5152,im_6537.jpg,0.000869377,0.000491984,0.000348681,0.5673509210000001,0.411250357,0.514988947,0.0,13,0.370297456,0.029980317000000003,LOW_NA
3057,im_4291.jpg,0.001609556,0.0016132689999999999,0.001214893,0.40487910200000005,0.42010074700000005,0.499713874,0.0,13,0.37275296799999996,0.125646378,
1856,im_303.jpg,0.0027372570000000003,0.00280407,0.0029012829999999997,0.380261843,0.94711145,0.702193739,1.0,12,0.37353367600000004,0.150914416,
4356,im_5640.jpg,0.000568035,0.00047603699999999996,0.000264902,0.548982152,0.557742744,0.6457220570000001,1.0,13,0.374619159,0.028492568,LOW_A
3379,im_4581.jpg,0.000822528,0.00020110200000000001,0.00017083799999999998,0.493419767,0.36669280299999996,0.761397069,0.0,13,0.376299459,0.053779799,
2786,im_4047.jpg,0.000289777,0.00043819800000000005,0.000630282,0.516963147,0.407809661,0.49610795399999996,0.0,13,0.37716097299999995,0.021104172999999997,
3350,im_4555.jpg,0.001014308,0.00012035899999999999,9.19e-05,0.609568535,0.398676731,0.734881177,0.0,13,0.377289654,0.06635917599999999,
4993,im_6394.jpg,1.4300000000000002e-05,0.002122939,0.002039084,0.338626714,0.42054884,0.664547474,0.0,13,0.377296684,0.032092571,
4324,im_5611.jpg,0.000898382,0.000133487,0.00032128,0.428033327,0.545427796,0.695199365,1.0,13,0.37816057,0.050617557,LOW_A
2679,im_3771.jpg,0.000726168,0.001217733,0.000533103,0.49541566,0.48388592799999997,0.601433448,1.0,13,0.378444004,0.093149119,
5812,im_7310.jpg,0.0009740539999999999,0.000637835,0.002321113,0.528245513,0.430902128,0.439815122,0.0,13,0.378704065,0.05212669599999999,LOW_NA
5088,im_648.jpg,0.001163837,0.000201167,0.000465277,0.431731425,0.390844058,0.597719488,0.0,12,0.379379864,0.075254236,
969,im_2051.jpg,0.00082363,0.0011717519999999999,0.003395584,0.49567812899999997,0.482437915,0.417323915,1.0,13,0.380599179,0.09120854699999999,LOW_A
